county,total,popestimate2014,market_per_capita
Red Willow,1,1881503,0
Seminole,1,19893297,0
Warren,2,3107126,0
San Luis Obispo,7,38802500,0
Jo Daviess,5,12880580,0
St. Mary's,1,5976407,0
,10,7061530,0
St. Mary,1,4649676,0
Morgan,2,11594163,0
Clay,1,4849377,0
Whatcom,3,7061530,0
Marion,1,2994079,0
,12,10097343,0
Lincoln,1,584153,0
Tallapoosa,1,4849377,0
San Benito,1,38802500,0
Menard,1,12880580,0
Broward,8,19893297,0
Dekalb,1,12880580,0
Onondaga,10,19746227,0
Hancock County,2,11594163,0
Anderson,1,2904021,0
Bonner,4,1634464,0
McCone,1,1023579,0
Crow Wing,1,5457173,0
Saline County,1,1881503,0
BRISTOL,1,1055173,0
Crisp,1,10097343,0
Grant County,1,3878051,0
Randolph,2,9943964,0
Livingston,7,9909877,0
Montgomery,3,8326289,0
Jackson,2,6596855,0
Pinal,1,6731484,0
Putnam,1,10097343,0
Columbia,7,5757564,0
Gem,1,1634464,0
Mason,1,7061530,0
Coos,1,3970239,0
Rolette,1,739482,0
Carroll,5,1326813,0
Leon,3,19893297,0
LaPorte,3,6596855,0
Howard,4,3107126,0
Randolph,1,2966369,0
Wayne,1,12880580,0
Union,1,3107126,0
Bracken,1,4413457,0
Madison,2,6549352,0
Montmorency,1,9909877,0
Jefferson Davis,3,4649676,0
Cattaraugus,6,19746227,0
Cavalier,1,739482,0
Columbiana,1,11594163,0
Kanawha,1,1850326,0
Hancock,3,6596855,0
Baldwin,3,4849377,0
Washington,1,9943964,0
Northumberland,2,12787209,0
San Miguel,2,5355866,0
Avoyelles,3,4649676,0
Rush,2,6596855,0
Jefferson,1,3107126,0
Jefferson,2,6063589,0
Jefferson,1,12787209,0
Caledonia,11,626562,0
Polk,3,3107126,0
Cape Girardeau,2,6063589,0
Ward,4,739482,0
Mahnomen,1,5457173,0
,13,6596855,0
Gilmer,1,10097343,0
Schuyler,1,6063589,0
,3,4849377,0
Marion,1,11594163,0
Josephine,1,3970239,0
Okanogan,3,7061530,0
Clinton,2,11594163,0
Greene,3,6549352,0
Clare,3,9909877,0
Delaware,1,6596855,0
,15,9943964,0
Nassau,8,19746227,0
Randolph,2,6063589,0
Clark,5,7061530,0
Barbour,2,1850326,0
Smyth,2,8326289,0
Duchesne,1,2942902,0
Gallia,2,11594163,0
